label,sentence
1,"¿Cuáles son los requisitos para obtener la residencia en España?"
0,"The cat sat on the mat."
1,"How long does the visa application process take for Spain?"
0,"I love sunny days in the park."
1,"What is the cost of a student visa for Spain?"
0,"She enjoys dancing salsa on weekends."
1,"¿Cómo puedo solicitar una visa de trabajo en España?"
0,"The mountains in Spain are breathtaking."
1,"Where can I find information about Spanish immigration policies?"
0,"My favorite food is paella."
1,"¿Qué documentos necesito para la solicitud de residencia en España?"
0,"I like to watch Spanish soccer matches."
1,"What are the current immigration laws in Spain?"
0,"The beach in Barcelona is beautiful."
1,"¿Cuánto tiempo dura el proceso de obtención de una visa de turista para España?"
0,"I'm a fan of Spanish literature."
1,"How can I apply for Spanish citizenship?"
0,"I prefer Spanish wine over French wine."
1,"¿Es posible obtener la residencia por inversión en España?"
0,"I enjoy listening to flamenco music."
1,"Where can I get information about Spanish work permits?"
0,"I'm planning a trip to Madrid."
1,"¿Cuáles son los trámites para obtener una visa de estudiante en España?"
0,"I like to practice my Spanish language skills."
1,"What are the requirements for a family reunion visa in Spain?"
0,"I have a collection of Spanish artwork."
1,"¿Puedo traer a mi familia a vivir conmigo si obtengo la residencia en España?"
0,"I'm learning Spanish at a language school."
1,"What is the process for renewing a Spanish residence permit?"
0,"I want to explore the Spanish countryside."
1,"¿Cuál es el plazo de validez de un visado de trabajo en España?"
0,"I enjoy eating tapas in Barcelona."
1,"How can I extend my Spanish tourist visa?"
0,"I'm a fan of Spanish football."
1,"¿Cuánto tiempo se tarda en obtener la ciudadanía española?"
0,"I love the architecture in Valencia."
1,"What is the procedure for getting a student visa for Spain?"
0,"I often visit Spanish-speaking countries."
1,"¿Cuáles son los requisitos para la residencia permanente en España?"
0,"I'm planning to visit Andalusia."
1,"How do I apply for a work visa in Spain?"
0,"I can speak a bit of Spanish."
1,"¿Puedo trabajar en España con una visa de estudiante?"
0,"I admire the art in the Prado Museum."
1,"What is the minimum investment required for an investor visa in Spain?"
0,"I enjoy watching Spanish movies."
1,"¿Cuáles son las condiciones para obtener una visa de reagrupación familiar en España?"
0,"I dream of visiting the Alhambra."
1,"How long can I stay in Spain with a tourist visa?"
0,"I've traveled to Spanish-speaking countries before."
1,"¿Cuál es el proceso para renovar una tarjeta de residencia en España?"
0,"I plan to hike in the Spanish Pyrenees."
1,"Can I apply for a work visa while in Spain on a tourist visa?"
0,"I like to cook Spanish dishes at home."
1,"¿Cuáles son los beneficios de obtener la ciudadanía española?"
0,"I've been to Madrid and Barcelona."
1,"What are the requirements for a student visa in Spain?"
0,"I enjoy learning about Spanish history."
1,"¿Cómo puedo solicitar una visa de residencia por trabajo en España?"
0,"I plan to visit the Canary Islands."
1,"How can I check the status of my Spanish visa application?"
0,"I like to dance to Spanish music."
1,"¿Cuál es el proceso para obtener una visa de emprendedor en España?"
0,"I have friends in Barcelona."
1,"What is the duration of a work permit in Spain?"
0,"I hope to see a bullfight in Seville."
1,"¿Puedo estudiar y trabajar en España con una visa de estudiante?"
0,"I enjoy the Spanish Mediterranean cuisine."
1,"How do I apply for a family reunion visa in Spain?"
0,"I love the culture of Catalonia."
1,"¿Cuáles son los documentos necesarios para la solicitud de una visa de inversión en España?"
0,"I want to explore the Basque Country."
1,"Can I bring my spouse and children with me if I get a residence permit in Spain?"
0,"I've traveled to Spanish-speaking countries in Latin America."
1,"What is the processing time for a Spanish residence visa?"
0,"I'm a fan of Spanish flamenco dancing."
1,"¿Cuál es el proceso para obtener la nacionalidad española por matrimonio?"
0,"I'm planning a trip to Ibiza."
1,"How can I apply for a self-employed visa in Spain?"
0,"I enjoy the beaches of Costa del Sol."
1,"¿Cuáles son las condiciones para una visa humanitaria en España?"
0,"I love the music festivals in Spain."
1,"What is the maximum stay on a tourist visa for Spain?"
0,"I want to experience the fiestas of Pamplona."
1,"¿Qué derechos tengo como residente en España?"
0,"I'm a fan of Spanish architecture."
1,"How can I appeal a visa rejection in Spain?"
0,"I enjoy hiking in the Spanish Sierra Nevada."
1,"¿Puedo obtener la residencia en España si tengo antecedentes penales?"
0,"I plan to visit the Balearic Islands."
1,"What is the minimum income requirement for a retirement visa in Spain?"
0,"I like to try different Spanish wines."
1,"¿Cuál es el procedimiento para solicitar una visa de estudios de posgrado en España?"
0,"I'm fascinated by Spanish art."
1,"How can I apply for a research visa in Spain?"
0,"I want to attend a bullfight in Madrid."
1,"¿Cuáles son los requisitos para la renovación de una visa de trabajo en España?"
0,"I enjoy the tapas culture in Seville."
1,"What are the benefits of obtaining permanent residency in Spain?"
0,"I'm planning to visit the Canary Islands."
1,"¿Cómo puedo traer a mis padres a vivir conmigo en España?"
0,"I have relatives in Valencia."
1,"How do I apply for an artist visa in Spain?"
0,"I'm interested in Spanish literature."
1,"¿Cuáles son los trámites para obtener la nacionalidad española por residencia?"
0,"I want to explore the historic cities of Spain."
1,"What is the validity period of a Spanish tourist visa?"
0,"I'm learning to dance salsa."
1,"¿Puedo obtener la ciudadanía española si tengo hijos nacidos en España?"
0,"I plan to visit the Pyrenees mountains."
1,"How can I obtain a visa for Spanish language studies?"
0,"I'm a fan of Spanish football clubs."
1,"¿Cuál es el proceso para obtener una visa de jubilación en España?"
0,"I enjoy the art galleries in Barcelona."
1,"What is the quota for skilled worker visas in Spain?"
0,"I'm learning Catalan."
1,"What are the steps to apply for a work permit in Spain?"
0,"I love the beaches along the Costa Brava."
1,"¿Cuáles son los derechos de los trabajadores extranjeros en España?"
0,"I enjoy the nightlife in Madrid."
1,"How can I obtain a long-term residence permit in Spain?"
0,"I want to visit the Guggenheim Museum in Bilbao."
1,"¿Cuál es el proceso para solicitar una visa humanitaria en España?"
0,"I like to watch Spanish soap operas."
1,"What is the duration of a student visa for Spain?"
0,"I plan to go wine tasting in Rioja."
1,"¿Puedo obtener la residencia permanente en España después de un año de trabajo?"
0,"I'm a fan of Spanish pop music."
1,"How do I prove financial means for a Spanish visa?"
0,"I enjoy the cuisine of Andalusia."
1,"¿Cuál es el procedimiento para solicitar una visa de investigación en España?"
0,"I want to witness the Running of the Bulls in Pamplona."
1,"What are the language requirements for Spanish citizenship?"
0,"I'm interested in Spanish fashion."
1,"¿Puedo solicitar la residencia en España si tengo una oferta de empleo?"
0,"I plan to visit the historic Alcazar in Toledo."
1,"How can I bring my pet with me when moving to Spain?"
0,"I love the vibrant colors of Spanish festivals."
1,"¿Cuál es el proceso para solicitar una visa de emprendedor de start-up en España?"
0,"I enjoy reading Spanish literature."
1,"What are the options for family reunification in Spain?"
0,"I'm a fan of Spanish architecture."
1,"¿Puedo obtener la residencia en España si soy inversor en una empresa local?"
0,"I plan to explore the Camino de Santiago."
1,"How can I transfer my foreign driver's license to Spain?"
0,"I like to watch Spanish cooking shows."
1,"¿Cuáles son los requisitos para una visa de estudios de idiomas en España?"
0,"I want to experience the Fallas festival in Valencia."
1,"What are the healthcare benefits for residents in Spain?"
0,"I'm a fan of Spanish rock music."
1,"¿Puedo trabajar como profesor de inglés en España con una visa de trabajo?"
0,"I plan to visit the historic sites in Segovia."
1,"How can I apply for a startup visa in Spain?"
0,"I enjoy attending Spanish flamenco performances."
1,"¿Cuáles son los derechos de los estudiantes extranjeros en España?"
0,"I want to explore the Canary Islands' natural beauty."
1,"What is the process for obtaining a visa for artistic performances in Spain?"
0,"I'm a fan of Spanish indie films."
1,"¿Puedo obtener la ciudadanía española si tengo ascendencia española?"
0,"I plan to hike in the Sierra de Guadarrama."
1,"How can I appeal a visa denial in Spain?"
0,"I enjoy learning about Spanish traditions."
1,"¿Cuáles son los trámites para obtener una visa de turismo familiar en España?"
0,"I want to attend a traditional Spanish bullfight."
1,"What are the tax implications for expats in Spain?"
0,"I'm a fan of Spanish classical music."
1,"¿Puedo obtener la residencia en España si soy inversor en bienes raíces?"
0,"I plan to visit the beaches of Costa del Sol."
1,"How can I apply for a freelance visa in Spain?"
0,"I enjoy watching Spanish television series."
1,"¿Cuáles son los beneficios de obtener la nacionalidad española?"
0,"I want to visit the historical sites in Granada."
1,"What is the process for obtaining a retirement visa in Spain?"
0,"I'm learning to speak Catalan."
1,"What are the conditions for obtaining a work visa in Spain?"
0,"I love the Mediterranean climate in Spain."
1,"¿Cuál es la duración de una visa de estudiante en España?"
0,"I plan to explore the historic streets of Seville."
1,"How can I sponsor a family member for a visa in Spain?"
0,"I'm a fan of Spanish telenovelas."
1,"¿Cuáles son los requisitos para una visa de residencia para jubilados en España?"
0,"I enjoy the art scene in Barcelona."
1,"What is the process for obtaining a talent visa in Spain?"
0,"I want to try authentic Spanish paella."
1,"¿Cuál es el proceso para obtener la residencia por inversión en bienes raíces en España?"
0,"I like to learn Spanish through online courses."
1,"How long does it take to process a student visa application for Spain?"
0,"I plan to visit the historic Alhambra palace."
1,"¿Cuáles son las tasas de matrícula para estudiantes internacionales en España?"
0,"I'm a fan of Spanish literature Nobel laureates."
1,"What are the requirements for obtaining an entrepreneur visa in Spain?"
0,"I enjoy the music of Spanish guitarists."
1,"¿Cuál es el proceso para solicitar una visa de artista en España?"
0,"I want to experience the Running of the Bulls in Pamplona."
1,"How can I bring my pet to Spain when relocating?"
0,"I love the traditional Spanish festivals."
1,"¿Cuál es el procedimiento para obtener una visa de trabajo temporal en España?"
0,"I plan to visit the historic city of Toledo."
1,"What are the language proficiency requirements for a Spanish visa?"
0,"I'm a fan of Spanish fashion designers."
1,"¿Puedo obtener la residencia en España si tengo una oferta de trabajo remoto?"
0,"I want to explore the Spanish wine regions."
1,"How can I apply for a research fellowship in Spain?"
0,"I enjoy the cuisine of Catalonia."
1,"¿Cuáles son los documentos necesarios para una visa de estudios de posgrado en España?"
0,"I plan to attend a Spanish language school."
1,"What are the rights and benefits of permanent residency in Spain?"
0,"I'm a fan of Spanish modernist architecture."
1,"¿Puedo trabajar en España con una visa de residencia por estudios?"
0,"I want to discover the beauty of Spanish islands like Mallorca."
1,"How do I obtain Spanish citizenship through marriage?"
0,"I enjoy exploring the historic neighborhoods of Madrid."
1,"¿Cuál es el proceso para obtener una visa humanitaria en caso de refugiados en España?"
0,"I plan to visit the Spanish vineyards."
1,"What is the process for obtaining a skilled worker visa in Spain?"
0,"I'm a fan of Spanish street art."
1,"¿Cuáles son los beneficios de obtener la ciudadanía española por inversión?"
0,"I want to witness a traditional Spanish bull run."
1,"How can I renew my Spanish work visa?"
0,"I enjoy attending Spanish music festivals."
1,"¿Cuáles son los plazos para la renovación de una visa de estudiante en España?"
0,"I plan to explore the natural beauty of the Pyrenees."
1,"What are the options for humanitarian visas in Spain?"
0,"I'm a fan of Spanish dance performances."
1,"¿Puedo obtener la residencia en España si soy artista talentoso?"
0,"I want to experience the Carnival of Tenerife."
1,"How can I apply for an investor visa in Spain?"
0,"I enjoy watching Spanish documentaries."
1,"¿Cuáles son los requisitos para una visa de reagrupación familiar en España?"
0,"I plan to visit the historic town of Ronda."
1,"What is the process for obtaining a researcher visa in Spain?"
0,"I'm a fan of Spanish contemporary art."
1,"¿Puedo obtener la ciudadanía española si tengo hijos nacidos en España?"
0,"I want to hike in the Picos de Europa."
1,"What are the income requirements for a retirement visa in Spain?"
0,"I enjoy exploring the charming villages of Spain."
1,"¿Cuáles son los trámites para obtener una visa de trabajo en hostelería en España?"
0,"I plan to visit the beautiful beaches of Mallorca."
1,"How can I transfer my foreign nursing license to work in Spain?"
0,"I'm a fan of Spanish opera."
1,"¿Cuáles son los derechos laborales de los inmigrantes en España?"
0,"I want to witness the Semana Santa in Seville."
1,"What is the process for obtaining a student visa for language courses in Spain?"
0,"I enjoy cooking traditional Spanish dishes."
1,"¿Cuáles son las condiciones para obtener una visa de inversión en el sector tecnológico en España?"
0,"I plan to attend a Spanish flamenco dance class."
1,"How long does it take to process a family reunion visa application for Spain?"
0,"I'm a fan of Spanish cinema."
1,"¿Cuáles son los requisitos para obtener una visa de residencia no lucrativa en España?"
0,"I want to explore the historical sites of Granada."
1,"What is the procedure for renewing a work visa in Spain?"
0,"I enjoy learning about Spanish traditions and folklore."
1,"¿Puedo obtener la residencia en España si compro una propiedad en la costa?"
0,"I plan to visit the picturesque villages of Andalusia."
1,"How can I apply for a medical internship visa in Spain?"
0,"I'm a fan of Spanish poetry."
1,"¿Cuáles son los beneficios de obtener la nacionalidad española por ascendencia?"
0,"I want to experience the lively atmosphere of Barcelona."
1,"What are the requirements for obtaining a family reunion visa for elderly parents in Spain?"
0,"I enjoy the Spanish tradition of tapas."
1,"¿Cuál es el plazo de validez de una visa de trabajo temporal en España?"
0,"I plan to explore the historic castles of Spain."
1,"How can I obtain a visa for religious mission work in Spain?"
0,"I'm a fan of Spanish jazz music."
1,"¿Cuáles son los derechos de los refugiados en España?"
0,"I want to visit the wine cellars of La Rioja."
1,"What is the process for obtaining a visa for scientific research in Spain?"
0,"I enjoy watching Spanish stand-up comedy."
1,"¿Cuáles son los trámites para obtener una visa de voluntariado en España?"
0,"I plan to attend a Spanish language immersion program."
1,"How can I apply for an artist's residence visa in Spain?"
0,"I'm a fan of Spanish street food."
1,"¿Cuáles son los requisitos para obtener una visa de estudiante de medicina en España?"
0,"I want to experience the vibrant Feria de Abril in Seville."
1,"What is the validity period of a visa for humanitarian work in Spain?"
0,"I enjoy the Spanish tradition of siesta."
1,"¿Puedo obtener la residencia en España si tengo una empresa de tecnología?"
0,"I plan to visit the historic city of Córdoba."
